ns,nf,entropy,la,ld,lt,fix,ndev,pd,npt,exp,sexp,bug
1,138,0.0,0.0,0.0,57.13043478,0,1,0,0.007246377,490,490,0
1,33,0.0,0.0,0.0,129.0909091,0,1,0,0.03030303,490,490,1
1,57,0.0,0.0,0.0,110.9298246,0,1,0,0.01754386,319,319,1
1,234,0.0,0.0,0.0,58.41452991,0,1,0,0.004273504,319,319,1
1,28,0.0,0.0,0.0,87.64285714,0,1,0,0.035714286,28,28,0
1,4,0.0,0.0,0.0,105.25,0,1,0,0.25,519,519,0
1,2,0.0,0.0,0.0,41.5,0,1,0,0.5,562,562,0
1,25,0.761387622,0.120119306,0.094088937,147.52,0,1,50,0.12,519,519,0
1,41,0.812573864,0.068959869,0.045536446,148.902439,0,1,78,0.12195122,562,562,0
1,4,0.606473776,0.07554672,0.049701789,125.75,0,1,0,0.5,566,566,0
1,3,0.0,0.0,0.0,65.66666667,0,1,0,0.333333333,599,599,0
1,30,0.773147912,0.115657143,0.122971429,145.8333333,0,1,28,0.333333333,599,599,0
1,3,0.780072974,0.064864865,0.037837838,61.66666667,1,1,2,1.0,602,602,0
1,1,0.0,0.143145161,0.004032258,496.0,0,1,1,1.0,606,606,0
1,3,0.0,0.0,0.0,42.0,0,1,0,0.333333333,606,606,0
1,1,0.0,0.014141414,0.018181818,495.0,0,1,0,1.0,607,607,0
1,1,0.0,0.004524887,0.004524887,221.0,0,1,2,1.0,608,608,0
1,2,0.371232327,0.035820896,0.005970149,167.5,0,1,10,0.5,610,610,0
1,2,0.639457132,0.08,0.105,100.0,0,1,10,0.5,613,613,0
1,1,0.0,0.0,0.0,18.0,0,1,0,1.0,613,613,0
1,1,0.0,0.0,0.0,30.0,0,1,0,1.0,622,622,0
1,8,0.562519786,0.042553191,0.319148936,41.125,0,1,34,0.5,622,622,0
1,4,0.0,0.007575758,0.159090909,33.0,0,1,15,1.0,626,626,0
1,5,0.822899993,0.03264095,0.118694362,67.4,0,1,25,0.2,631,631,0
1,3,0.591371241,0.034587996,0.077314344,327.6666667,0,1,11,1.0,634,634,0
1,2,0.978161957,0.03908046,0.23908046,217.5,0,1,6,0.5,636,636,0
1,9,0.948835497,0.061987238,0.00911577,121.8888889,0,1,32,0.666666667,645,645,0
1,2,0.740865686,0.066052227,0.029185868,325.5,0,1,5,1.0,650,650,0
1,3,0.697186209,0.039182283,0.025553663,195.6666667,1,1,13,0.666666667,648,648,0
1,1,0.0,0.006472492,0.006472492,309.0,0,1,0,1.0,651,651,0
1,23,0.808577012,0.104465038,0.079612468,103.2173913,1,1,103,0.304347826,674,674,1
1,1,0.0,0.004975124,0.0,402.0,0,1,0,1.0,675,675,0
1,1,0.0,0.056338028,0.056338028,71.0,0,1,5,1.0,676,676,0
1,5,0.787725098,0.018226002,0.012150668,164.6,1,1,24,0.6,681,681,0
1,1,0.0,0.31372549,0.245098039,102.0,1,1,1,1.0,682,682,0
1,1,0.0,0.022556391,0.015037594,133.0,0,1,1,1.0,683,683,0
1,1,0.0,0.004962779,0.00248139,403.0,0,1,1,1.0,684,684,1
1,2,0.245481907,0.110939908,0.154083205,324.5,0,1,3,1.0,686,686,0
1,3,0.868435241,0.367549669,0.086092715,100.6666667,1,1,16,0.666666667,689,689,0
1,2,0.058758157,0.296728972,0.046728972,214.0,0,1,7,1.0,691,691,0
1,1,0.0,0.0,0.0,30.0,0,1,0,1.0,698,698,0
1,6,0.942248271,0.098434004,0.270693512,74.5,0,1,20,0.666666667,698,698,0
1,1,0.0,0.0,0.0,8.0,0,1,0,1.0,702,702,0
1,3,0.860780164,0.591269841,0.170634921,84.0,0,1,19,0.666666667,702,702,0
1,11,0.941499572,0.068459658,0.014669927,74.36363636,0,1,66,0.363636364,713,713,0
1,1,0.0,0.01897019,0.01897019,369.0,0,1,0,1.0,714,714,0
1,3,0.908953176,0.083044983,0.049596309,289.0,1,1,15,0.666666667,717,717,0
1,5,0.717486669,0.047393365,0.07464455,168.8,0,1,30,1.0,722,722,0
1,2,0.826746372,0.184834123,0.289099526,105.5,1,1,0,0.5,724,724,0
1,1,0.0,0.024193548,0.022177419,496.0,0,1,2,1.0,725,725,0
1,3,0.659220121,0.209302326,0.102325581,71.66666667,0,1,9,0.333333333,728,728,0
1,1,0.0,0.019607843,0.019607843,51.0,0,1,8,1.0,729,729,0
1,1,0.0,0.033898305,0.0,59.0,0,1,1,1.0,730,730,0
1,7,0.704960806,0.100760456,0.051330798,150.2857143,0,1,29,1.0,737,737,0
1,1,0.0,0.114649682,0.006369427,157.0,0,1,0,1.0,738,738,0
1,1,0.0,0.005420054,0.005420054,369.0,0,1,1,1.0,739,739,0
1,1,0.0,0.01910828,0.01910828,157.0,0,1,0,1.0,740,740,0
1,1,0.0,0.130177515,0.443786982,338.0,0,1,2,1.0,741,741,0
1,10,0.797051703,0.066666667,0.157460317,157.5,0,1,76,0.5,751,751,0
1,1,0.0,0.607142857,0.482142857,56.0,0,1,8,1.0,752,752,0
1,1,0.0,0.012987013,0.0,154.0,1,1,6,1.0,753,753,0
1,13,0.966825753,0.191063174,0.155624037,49.92307692,0,1,64,0.153846154,767,767,0
1,1,0.0,0.0,0.0,76.0,0,1,0,1.0,767,767,0
1,1,0.0,0.128125,0.26875,320.0,0,1,0,1.0,768,768,0
1,2,0.468995594,0.270386266,0.094420601,233.0,0,1,10,1.0,770,770,0
1,8,0.926185955,0.033621518,0.048991354,130.125,0,1,8,0.125,778,778,0
1,1,0.0,0.0,0.014925373,67.0,0,1,9,1.0,779,779,0
1,1,0.0,0.012345679,0.012345679,162.0,0,1,9,1.0,780,780,0
1,1,0.0,0.008403361,0.008403361,119.0,1,1,4,1.0,781,781,0
1,4,1.0,0.004237288,0.004237288,236.0,0,1,16,0.75,785,785,0
1,1,0.0,0.032258065,0.026392962,341.0,0,1,4,1.0,786,786,0
1,4,0.896240625,0.004541326,0.000908265,275.25,0,1,0,0.5,790,790,0
1,1,0.0,0.107142857,0.035714286,28.0,0,1,9,1.0,791,791,0
1,4,0.570033881,0.094915254,0.020338983,73.75,1,1,30,0.5,795,795,0
1,1,0.0,0.012987013,0.012987013,154.0,0,1,2,1.0,796,796,0
1,4,0.378309284,0.073264781,0.0218509,194.5,0,1,32,1.0,802,802,0
1,2,0.0,0.0,0.0,24.5,0,1,0,0.5,802,802,0
1,9,0.791570708,0.18754988,0.196328811,139.2222222,0,1,68,0.666666667,811,811,0
1,6,0.694735643,0.094142259,0.167364017,79.66666667,0,1,36,0.833333333,817,817,0
1,1,0.0,0.033898305,0.0,59.0,0,1,10,1.0,818,818,0
1,2,0.0,0.0,0.0,36.5,0,1,0,0.5,821,821,0
1,1,0.0,0.08040201,0.103015075,398.0,0,1,3,1.0,821,821,0
1,1,0.0,0.005847953,0.005847953,342.0,0,1,3,1.0,822,822,0
1,1,0.0,0.0,0.228571429,35.0,0,1,12,1.0,823,823,0
1,1,0.0,0.068181818,0.0,44.0,0,1,12,1.0,824,824,0
1,1,0.0,0.161849711,0.01734104,173.0,0,1,3,1.0,825,825,0
1,1,0.0,0.003846154,0.003846154,520.0,1,1,1,1.0,826,826,0
1,1,0.0,0.0875,0.00625,160.0,0,1,0,1.0,827,827,0
1,1,0.0,0.00625,0.00625,160.0,1,1,0,1.0,828,828,0
1,1,0.0,0.012820513,0.012820513,156.0,0,1,0,1.0,829,829,0
1,1,0.0,0.018518519,0.055555556,54.0,0,1,0,1.0,830,830,0
1,5,0.780746047,0.089430894,0.06300813,98.4,0,1,12,0.6,837,837,0
1,2,0.0,0.0,0.0,24.0,0,1,0,0.5,837,837,0
1,1,0.0,0.009259259,0.009259259,108.0,0,1,12,1.0,838,838,0
1,1,0.0,0.411764706,0.735294118,34.0,0,1,3,1.0,839,839,0
1,1,0.0,1.428571429,0.571428571,7.0,0,1,12,1.0,840,840,0
1,9,0.841151698,0.055147059,0.046568627,181.3333333,0,1,44,0.777777778,853,853,0
1,4,0.0,0.0,0.0,61.0,0,1,0,0.25,853,853,0
1,3,0.410118486,0.02020202,0.070707071,132.0,1,1,23,1.0,856,856,0
1,2,0.902393283,0.032679739,0.015250545,229.5,0,1,0,1.0,858,858,0
1,2,1.0,0.009174312,0.009174312,109.0,0,1,2,0.5,860,860,0
1,1,0.0,0.090909091,0.0,77.0,0,1,13,1.0,861,861,0
1,1,0.0,0.297297297,0.249249249,333.0,1,1,5,1.0,862,862,0
1,2,0.89049164,0.240963855,0.072289157,41.5,0,1,21,1.0,865,865,0
1,1,0.0,0.0,0.0,45.0,0,1,0,1.0,865,865,0
1,5,0.892755116,0.100609756,0.042682927,65.6,0,1,34,0.4,871,871,0
1,1,0.0,0.0,0.0,28.0,0,1,0,1.0,871,871,0
1,3,0.0,0.0,0.0,10.66666667,0,1,0,0.333333333,902,902,0
1,28,0.704972407,0.300846301,0.24952225,130.8214286,0,1,251,0.428571429,902,902,1
1,4,0.602744816,0.057297297,0.054054054,231.25,0,1,0,0.25,906,906,0
1,1,0.0,0.709090909,0.309090909,55.0,0,1,11,1.0,908,908,0
1,1,0.0,0.467741935,0.032258065,62.0,0,1,0,1.0,907,907,0
1,1,0.0,0.002923977,0.002923977,342.0,0,1,1,1.0,909,909,0
1,1,0.0,0.005882353,0.005882353,170.0,0,1,4,1.0,910,910,0
1,1,0.0,0.005882353,0.005882353,170.0,0,1,0,1.0,911,911,0
1,7,0.840912232,0.13618677,0.46692607,36.71428571,0,1,13,0.428571429,918,918,0
1,1,0.0,0.056,0.024,125.0,0,1,1,1.0,919,919,0
1,2,0.882958969,0.060903733,0.082514735,254.5,0,1,21,1.0,921,921,0
1,1,0.0,0.006369427,0.0,157.0,0,1,1,1.0,922,922,0
1,1,0.0,0.012195122,0.097560976,164.0,0,1,0,1.0,923,923,0
1,3,0.976051719,0.126637555,0.03930131,76.33333333,0,1,5,1.0,926,926,0
1,1,0.0,0.019083969,0.001908397,524.0,0,1,1,1.0,927,927,0
1,1,0.0,0.011049724,0.005524862,181.0,0,1,1,1.0,928,928,0
1,1,0.0,0.009174312,0.233944954,436.0,0,1,0,1.0,929,929,0
1,2,0.468995594,0.072649573,0.012820513,234.0,1,1,3,1.0,933,933,0
1,2,0.0,0.0,0.0,50.5,1,1,0,0.5,933,933,0
1,1,0.0,0.107142857,0.0,56.0,0,1,1,1.0,934,934,0
1,1,0.0,0.0,0.004032258,248.0,1,1,14,1.0,935,935,0
1,1,0.0,0.088235294,0.029411765,102.0,1,1,2,1.0,936,936,0
1,22,0.91520954,0.182337992,0.223634053,71.54545455,0,1,273,0.318181818,963,963,0
1,5,0.0,0.0,0.0,15.2,0,1,0,0.2,963,963,0
1,13,0.654926052,0.05711775,0.195957821,87.53846154,0,1,42,0.615384615,980,980,0
1,4,0.0,0.0,0.0,79.75,0,1,0,0.25,980,980,0
1,2,0.591672779,0.014492754,0.086956522,34.5,0,1,28,0.5,982,982,0
1,1,0.0,0.076923077,0.346153846,52.0,0,1,14,1.0,983,983,0
1,2,0.855450811,0.327272727,0.127272727,27.5,0,1,6,0.5,985,985,0
1,1,0.0,0.148148148,0.037037037,27.0,0,1,7,1.0,986,986,0
1,1,0.0,0.097308489,0.091097308,483.0,1,1,1,1.0,987,987,0
1,4,0.211172318,0.225,0.180357143,140.0,1,1,10,0.75,991,991,0
1,1,0.0,0.006622517,0.006622517,151.0,1,1,6,1.0,992,992,0
1,6,0.699791531,0.327543424,0.071960298,67.16666667,0,1,36,1.0,998,998,0
1,7,0.895660389,0.023552502,0.026496565,145.5714286,1,1,8,0.428571429,1005,1005,0
1,4,0.840764164,0.07734057,0.042062415,184.25,0,1,1,0.5,1009,1009,0
1,1,0.0,0.122754491,0.170658683,334.0,1,1,2,1.0,1010,1010,0
1,1,0.0,0.142857143,0.142857143,28.0,0,1,15,1.0,1011,1011,0
1,1,0.0,0.068249258,0.068249258,337.0,0,1,0,1.0,1012,1012,0
1,11,0.789926859,0.133089133,0.110500611,148.9090909,0,1,25,0.727272727,1023,1023,0
1,1,0.0,0.002293578,0.002293578,436.0,0,1,2,1.0,1024,1024,0
1,1,0.0,0.083333333,0.041666667,48.0,1,1,16,1.0,1025,1025,0
1,153,0.0,0.0,0.0,69.61437908,0,1,0,0.006535948,153,153,1
1,3,0.379508777,0.156069364,0.10982659,115.3333333,0,1,32,1.0,1028,1028,0
1,11,0.757460483,0.087684729,0.037931034,184.5454545,0,1,31,0.545454545,1040,1040,0
1,1,0.0,0.0,0.0,159.0,0,1,0,1.0,1040,1040,0
1,4,0.114269072,0.013157895,0.075657895,76.0,0,1,26,1.0,1044,1044,0
1,1,0.0,0.0,0.0,58.0,0,1,0,1.0,1050,1050,0
1,5,0.755946114,0.135687732,0.045539033,215.2,0,1,51,0.8,1050,1050,0
1,2,0.845350937,0.0625,0.0234375,128.0,0,1,16,1.0,1052,1052,0
1,8,0.473646725,0.286012526,0.290187891,59.875,0,1,18,0.75,1061,1061,0
1,1,0.0,0.0,0.0,21.0,0,1,0,1.0,1061,1061,0
1,1,0.0,0.214285714,0.114285714,70.0,0,1,2,1.0,1062,1062,0
1,1,0.0,0.027431421,0.019950125,401.0,1,1,4,1.0,1063,1063,0
1,8,0.909464671,0.075,0.04765625,160.0,0,1,77,0.875,1071,1071,0
1,6,1.0,0.096774194,0.096774194,10.33333333,1,2,0,0.166666667,6,6,0
